site,plot_type,plot_ID,chamber_type,chamber_size,date,time_start,time_end,start_analysis,end_analysis,ch4_flux,ch4_p,ch4_sd,ch4_method,co2_flux,co2_p,co2_sd,co2_method,temp_air,temp_air_K,
ST2,Stable,ST2 S1,clear,1.5,2023-10-10,14:53:45,14:57:30,2023-10-10 14:53:45,2023-10-10 14:57:30,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S1,dark,1.5,2023-10-10,14:59:30,15:02:00,2023-10-10 14:59:00,2023-10-10 15:02:00,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S1,soil,pvc,2023-10-10,14:46:15,14:50:15,2023-10-10 14:46:15,2023-10-10 14:50:15,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S2,clear,1.5,2023-10-10,14:24:45,14:27:45,2023-10-10 14:24:45,2023-10-10 14:27:45,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S2,dark,1.5,2023-10-10,14:30:00,14:33:00,2023-10-10 14:30:00,2023-10-10 14:33:00,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S2,soil,pvc,2023-10-10,14:19:15,14:22:15,2023-10-10 14:19:15,2023-10-10 14:22:15,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S3,clear,1.5,2023-10-10,13:45:45,13:48:45,2023-10-10 13:46:00,2023-10-10 13:48:45,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S3,dark,1.5,2023-10-10,13:50:00,13:53:00,2023-10-10 13:50:00,2023-10-10 13:53:00,,,,,,,,,24.44,297.6,
ST2,Stable,ST2 S3,soil,pvc,2023-10-10,13:39:45,13:42:40,2023-10-10 13:39:45,2023-10-10 13:42:45,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U1,clear,1.5,2023-10-10,15:09:30,15:12:45,2023-10-10 15:12:15,2023-10-10 15:15:15,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U1,dark,1.5,2023-10-10,15:13:45,15:16:45,2023-10-10 15:16:00,2023-10-10 15:19:00,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U1,soil,pvc,2023-10-10,15:04:15,15:07:15,2023-10-10 15:06:45,2023-10-10 15:09:45,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U2,clear,1.5,2023-10-10,14:03:30,14:06:30,2023-10-10 14:03:45,2023-10-10 14:06:45,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U2,dark,1.5,2023-10-10,14:08:30,14:11:30,2023-10-10 14:08:30,2023-10-10 14:11:30,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U2,soil,pvc,2023-10-10,13:57:45,14:00:45,2023-10-10 13:58:00,2023-10-10 14:00:45,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U3,clear,1.5,2023-10-10,13:24:30,13:27:30,2023-10-10 13:24:30,2023-10-10 13:27:30,,,,,,,,,23.89,297.0,
ST2,Unstable,ST2 U3,dark,1.5,2023-10-10,13:29:00,13:33:30,2023-10-10 13:29:00,2023-10-10 13:32:00,,,,,,,,,24.44,297.6,
ST2,Unstable,ST2 U3,soil,pvc,2023-10-10,13:18:45,13:21:45,2023-10-10 13:18:45,2023-10-10 13:21:45,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S1,clear,1.5,2023-10-10,11:40:15,11:43:30,2023-10-10 11:40:30,2023-10-10 11:43:30,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S1,dark,1.5,2023-10-10,11:44:00,11:47:15,2023-10-10 11:44:00,2023-10-10 11:47:00,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S1,soil,pvc,2023-10-10,11:34:15,11:37:15,2023-10-10 11:34:15,2023-10-10 11:37:15,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S2,clear,1.5,2023-10-10,11:58:30,12:01:45,2023-10-10 11:58:30,2023-10-10 12:01:30,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S2,dark,1.5,2023-10-10,12:02:15,12:05:30,2023-10-10 12:02:45,2023-10-10 12:05:45,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S2,soil,pvc,2023-10-10,11:53:15,11:56:00,2023-10-10 11:53:30,2023-10-10 11:56:00,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S3,clear,1.5,2023-10-10,12:32:00,12:35:45,2023-10-10 12:32:30,2023-10-10 12:35:45,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S3,dark,1.5,2023-10-10,12:37:00,12:40:05,2023-10-10 12:37:00,2023-10-10 12:40:00,,,,,,,,,23.89,297.0,
ST4,Stable,ST4 S3,soil,pvc,2023-10-10,12:23:15,12:26:30,2023-10-10 12:23:30,2023-10-10 12:26:30,,,,,,,,,23.89,297.0,
ST4,Unstable,ST4 U1,clear,1.5,2023-10-10,10:35:45,10:39:00,2023-10-10 10:36:00,2023-10-10 10:39:00,,,,,,,,,23.33,296.5,
ST4,Unstable,ST4 U1,dark,1.5,2023-10-10,10:40:00,10:43:00,2023-10-10 10:40:00,2023-10-10 10:43:00,,,,,,,,,23.33,296.5,
ST4,Unstable,ST4 U1,soil,pvc,2023-10-10,10:28:45,10:32:00,2023-10-10 10:29:00,2023-10-10 10:31:45,,,,,,,,,23.33,296.5,
ST4,Unstable,ST4 U2,clear,1.5,2023-10-10,10:55:15,10:58:45,2023-10-10 10:55:45,2023-10-10 10:58:45,,,,,,,,,23.33,296.5,
ST4,Unstable,ST4 U2,dark,1.5,2023-10-10,10:59:30,11:02:45,2023-10-10 10:59:30,2023-10-10 11:02:30,,,,,,,,,23.33,296.5,
ST4,Unstable,ST4 U2,soil,pvc,2023-10-10,10:49:45,10:53:00,2023-10-10 10:49:45,2023-10-10 10:53:00,,,,,,,,,23.33,296.5,
ST4,Unstable,ST4 U3,clear,1.5,2023-10-10,11:19:15,11:23:15,2023-10-10 11:19:30,2023-10-10 11:22:30,,,,,,,,,23.33,296.5,
ST4,Unstable,ST4 U3,dark,1.5,2023-10-10,11:24:00,11:27:30,2023-10-10 11:24:00,2023-10-10 11:27:30,,,,,,,,,23.33,296.5,
ST4,Unstable,ST4 U3,soil,pvc,2023-10-10,11:13:00,11:16:00,2023-10-10 11:13:15,2023-10-10 11:16:00,,,,,,,,,23.33,296.5,
A1,B1,A1 B1, ,bucket,2023-10-09,12:47:30,12:50:45,2023-10-09 12:47:45,2023-10-09 12:50:45,,,,,,,,,22.78,295.9,
A1,B2,A1 B2, ,bucket,2023-10-09,13:04:30,13:07:45,2023-10-09 13:04:45,2023-10-09 13:07:45,,,,,,,,,23.33,296.5,
A1,B3,A1 B3, ,bucket,2023-10-09,12:58:30,13:01:45,2023-10-09 12:58:45,2023-10-09 13:01:45,,,,,,,,,23.33,296.5,
A1,B4,A1 B4, ,bucket,2023-10-09,12:53:45,12:57:15,2023-10-09 12:54:15,2023-10-09 12:57:15,,,,,,,,,23.33,296.5,
A2,B1,A2 B1, ,bucket,2023-10-09,12:34:15,12:37:00,2023-10-09 12:34:15,2023-10-09 12:37:00,,,,,,,,,22.78,295.9,
A2,B2,A2 B2, ,bucket,2023-10-09,12:28:00,12:31:15,2023-10-09 12:28:00,2023-10-09 12:31:00,,,,,,,,,22.78,295.9,
A2,B3,A2 B3, ,bucket,2023-10-09,12:17:30,12:20:30,2023-10-09 12:17:30,2023-10-09 12:20:30,,,,,,,,,22.78,295.9,
A2,B4,A2 B4, ,bucket,2023-10-09,12:22:30,12:25:45,2023-10-09 12:22:30,2023-10-09 12:25:45,,,,,,,,,22.78,295.9,
A3,B1,A3 B1, ,bucket,2023-10-09,11:39:30,11:46:30,2023-10-09 11:39:30,2023-10-09 11:46:30,,,,,,,,,22.22,295.4,
A3,B2,A3 B2, ,bucket,2023-10-09,11:49:45,11:53:00,2023-10-09 11:50:00,2023-10-09 11:53:00,,,,,,,,,22.22,295.4,
A3,B3,A3 B3, ,bucket,2023-10-09,11:58:30,12:01:30,2023-10-09 11:58:30,2023-10-09 12:01:30,,,,,,,,,22.78,295.9,
A3,B4,A3 B4, ,bucket,2023-10-09,12:03:15,12:06:15,2023-10-09 12:03:30,2023-10-09 12:06:15,,,,,,,,,22.78,295.9,
A4,B1,A4 B1, ,bucket,2023-10-09,11:26:30,11:29:45,2023-10-09 11:26:30,2023-10-09 11:29:45,,,,,,,,,22.22,295.4,
A4,B2,A4 B2, ,bucket,2023-10-09,11:21:00,11:24:15,2023-10-09 11:21:00,2023-10-09 11:24:15,,,,,,,,,22.22,295.4,
A4,B3,A4 B3, ,bucket,2023-10-09,11:16:15,11:19:30,2023-10-09 11:16:15,2023-10-09 11:19:30,,,,,,,,,22.22,295.4,
A4,B4,A4 B4, ,bucket,2023-10-09,11:11:29,11:15:04,2023-10-09 11:11:30,2023-10-09 11:14:45,,,,,,,,,22.22,295.4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,